TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,N_heat,N_isothermal
7.543e6,0.049923749999999996,83.02218333333333,-5453.531666666667,0.0,-4808.126666666667,1160.6516666666666,-0.2353208333333333,2335.38,2335.1450000000004,-0.00013949216666666667,0.019062349999999995,0.017220516666666668,0.03628286666666666,6,0.05,0.05,0.05,1.0,500000,9500000
7.544e6,0.050035116666666664,83.70601666666666,-5454.011666666666,0.0,-4806.106666666667,1163.2416666666666,-0.23502350000000002,2330.9233333333336,2330.6916666666666,0.00023202716666666665,0.019075666666666668,0.017324266666666668,0.036399933333333336,6,0.05,0.05,0.05,1.0,500000,9500000
7.545e6,0.050065616666666674,83.19518333333333,-5453.93,0.0,-4806.658333333333,1163.95,-0.23501316666666663,2330.8866666666668,2330.653333333333,0.0001666123333333333,0.019040633333333334,0.017351383333333335,0.03639203333333334,6,0.05,0.05,0.05,1.0,500000,9500000
7.546e6,0.05005418333333333,83.40971666666667,-5453.7283333333335,0.0,-4805.58,1163.685,-0.234961,2330.24,2330.003333333333,2.523319999999999e-5,0.01901265,0.01742201666666667,0.036434683333333336,6,0.05,0.05,0.05,1.0,500000,9500000
7.547e6,0.05001908333333333,83.53585,-5454.458333333333,0.0,-4808.268333333333,1162.8683333333336,-0.23518716666666664,2333.931666666667,2333.6966666666667,0.0004826226833333334,0.01901818333333333,0.01728185,0.036300033333333336,6,0.05,0.05,0.05,1.0,500000,9500000
7.548e6,0.04992096666666667,83.84488333333333,-5454.745,0.0,-4809.11,1160.5883333333334,-0.2353885,2337.1933333333336,2336.9566666666665,0.0004711770000000001,0.0189885,0.017255899999999998,0.03624438333333333,6,0.05,0.05,0.05,1.0,500000,9500000
7.549e6,0.04999321666666667,83.71643333333334,-5454.988333333334,0.0,-4807.858333333334,1162.2666666666667,-0.23519916666666665,2334.3749999999995,2334.14,0.0002220403333333334,0.018995016666666666,0.017354233333333333,0.036349266666666664,6,0.05,0.05,0.05,1.0,500000,9500000
7.55e6,0.04998631666666667,83.21213333333334,-5454.664999999999,0.0,-4806.566666666667,1162.1066666666666,-0.23512633333333333,2333.325,2333.0899999999997,0.00028501616666666666,0.019000200000000002,0.017444066666666667,0.03644426666666667,6,0.05,0.05,0.05,1.0,500000,9500000
7.551e6,0.04992406666666666,84.2264,-5454.746666666667,0.0,-4805.551666666666,1160.66,-0.23515416666666664,2333.9900000000002,2333.755,0.00046980396666666666,0.019033433333333332,0.017416166666666667,0.0364496,6,0.05,0.05,0.05,1.0,500000,9500000
7.552e6,0.049954000000000005,83.72221666666667,-5453.829999999999,0.0,-4806.018333333333,1161.3549999999998,-0.23513933333333337,2333.89,2333.651666666667,0.000309671,0.019041016666666664,0.01735198333333333,0.03639298333333333,6,0.05,0.05,0.05,1.0,500000,9500000
