TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM
2.6e6,0.05001699,61.55623999999999,-4522.778,0.0,-3910.0730000000003,1162.821,-0.1772419,2149.914,2149.7349999999997,0.0002520703,0.01818521,0.017372899999999997,0.03555809
2.7e6,0.04997917,61.95326,-4548.9039999999995,0.0,-3936.0879999999997,1161.9410000000003,-0.1789772,2179.839,2179.659,0.0002448613,0.01819182,0.017347640000000004,0.03553944
2.8e6,0.05000699000000001,62.293339999999986,-4575.562,0.0,-3961.6169999999997,1162.588,-0.18058239999999998,2207.7579999999994,2207.578,0.00021515410000000004,0.018205400000000004,0.01738508,0.035590460000000004
2.9e6,0.05000153999999999,62.56594,-4600.844999999999,0.0,-3986.4689999999996,1162.462,-0.18219390000000002,2235.43,2235.248,0.00020064420000000003,0.01821754,0.017383079999999995,0.03560061999999999
3.0e6,0.05001316,63.13683000000001,-4622.7,0.0,-4007.511,1162.7310000000002,-0.18353430000000004,2259.8130000000006,2259.63,0.0002082979,0.01824115,0.01737505,0.03561619
3.1e6,0.049996889999999995,63.49884000000001,-4644.7660000000005,0.0,-4029.3559999999998,1162.353,-0.18496790000000002,2285.3849999999998,2285.2019999999998,0.0001951546,0.0182472,0.017359870000000003,0.03560708
3.2e6,0.04999665999999999,63.83391,-4664.05,0.0,-4048.093,1162.347,-0.18617709999999996,2307.9530000000004,2307.765,0.00018723460000000003,0.01825756,0.017363169999999997,0.03562073
3.3e6,0.050002990000000004,64.35694,-4685.615,0.0,-4068.75,1162.4949999999997,-0.18750020000000003,2331.755,2331.5690000000004,0.0001845329,0.01828092,0.017364829999999998,0.03564575
3.4e6,0.050005289999999994,64.68426,-4704.281000000001,0.0,-4086.882,1162.549,-0.18866660000000002,2354.0170000000003,2353.827,0.00017547330000000004,0.01828602,0.017372969999999998,0.03565897999999999
3.5e6,0.05002019,65.02399999999999,-4722.59,0.0,-4104.647000000001,1162.894,-0.1897904,2376.0829999999996,2375.8930000000005,0.0001647093,0.01829982,0.01737251,0.03567234
3.6e6,0.04999061,65.35659,-4740.118,0.0,-4121.978999999999,1162.2060000000001,-0.1909532,2398.805,2398.6150000000002,0.0001667909,0.0183043,0.01735902,0.03566334
3.7e6,0.04998874,65.58095999999999,-4755.369000000001,0.0,-4136.87,1162.164,-0.19191640000000001,2418.819,2418.6269999999995,0.00016234890000000002,0.01831445,0.01735772,0.03567218
3.8e6,0.05002706,65.84312,-4770.695,0.0,-4151.296,1163.054,-0.19278979999999998,2437.5440000000003,2437.353,0.00014726271,0.01832622,0.017386930000000002,0.03571316
3.9e6,0.05001974,66.2007,-4784.377999999999,0.0,-4164.65,1162.885,-0.1936624,2455.9710000000005,2455.7750000000005,0.00015292299999999999,0.01833987,0.0173714,0.03571129
4.0e6,0.049994529999999995,66.31394,-4797.316,0.0,-4177.617,1162.296,-0.1945368,2474.7920000000004,2474.597,0.00014034553000000002,0.018339199999999996,0.017363049999999998,0.035702229999999995
4.1e6,0.05001487,66.54916,-4810.366,0.0,-4190.119000000001,1162.771,-0.19531279999999995,2492.163,2491.9669999999996,0.00012909422999999998,0.01835143,0.017371050000000002,0.03572248
4.2e6,0.05001682,66.96056999999999,-4824.9259999999995,0.0,-4203.909000000001,1162.8160000000003,-0.19619959999999997,2510.4979999999996,2510.304,0.00013418412,0.01836935,0.01737617,0.03574555
4.3e6,0.050003620000000006,67.21736000000001,-4837.946,0.0,-4216.882,1162.5100000000002,-0.1970561,2528.9120000000003,2528.7129999999997,0.00012993546,0.0183668,0.017365369999999998,0.035732129999999994
4.4e6,0.050014100000000006,67.45447,-4851.251999999999,0.0,-4229.603,1162.7540000000001,-0.19786149999999997,2545.976,2545.7779999999993,0.00012467572099999997,0.018377079999999997,0.017377419999999998,0.03575448
4.5e6,0.0500054,67.61397000000001,-4863.697999999999,0.0,-4241.686,1162.5510000000002,-0.1986539,2563.017999999999,2562.8190000000004,9.902579e-5,0.01839646,0.01737096,0.03576741
4.6e6,0.049995410000000004,67.78855,-4874.765,0.0,-4252.659000000001,1162.318,-0.199377,2579.9669999999996,2579.7659999999996,0.00010497413,0.018392120000000005,0.01737029,0.03576240000000001
4.7e6,0.05000932,68.11591,-4884.442000000001,0.0,-4261.718,1162.642,-0.1999405,2594.4670000000006,2594.2670000000003,0.00010603299999999999,0.018407319999999998,0.017373800000000002,0.03578112
4.8e6,0.04999907,68.24658,-4894.312,0.0,-4271.387000000001,1162.403,-0.20057969999999997,2609.8550000000005,2609.655,0.00011089136,0.0184126,0.017372989999999998,0.03578562
4.9e6,0.05000265,68.41086,-4905.699,0.0,-4282.637,1162.4859999999999,-0.2013001,2627.1459999999997,2626.9449999999997,9.782722e-5,0.01841442,0.01736945,0.035783859999999994
5.0e6,0.05000597,68.70513,-4914.677,0.0,-4291.1449999999995,1162.563,-0.201844,2641.964,2641.763,0.00011014383000000001,0.018419610000000003,0.017375679999999998,0.03579529
5.1e6,0.049994010000000005,68.7463,-4922.901,0.0,-4299.572,1162.285,-0.20240560000000002,2657.163,2656.96,9.48179e-5,0.01841964,0.01735981,0.035779490000000004
