TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM
4.3e6,0.05000093,58.304050000000004,-4352.242,0.0,-3744.1380000000004,1162.4479999999999,-0.1665608,2878.43,2878.264,0.00012117685,0.018105749999999997,0.01736507,0.03547082000000001
4.4e6,0.05000812000000001,58.66137999999999,-4369.226000000001,0.0,-3760.5119999999997,1162.6129999999998,-0.16760629999999999,2897.6749999999997,2897.5070000000005,0.0001299073,0.01810958,0.0173777,0.03548727
4.5e6,0.05002158999999999,58.983450000000005,-4386.67,0.0,-3777.2940000000003,1162.9270000000001,-0.1686688,2917.4189999999994,2917.2510000000007,0.0001262546,0.01813021,0.017378969999999997,0.03550919
4.6e6,0.05000287999999999,59.250710000000005,-4404.754999999999,0.0,-3795.1569999999992,1162.491,-0.1698494,2938.6980000000003,2938.528,0.00011791209,0.018138129999999995,0.017368050000000003,0.03550618
4.7e6,0.04998624,59.71788,-4419.019,0.0,-3809.1980000000003,1162.1060000000002,-0.1707803,2956.6459999999997,2956.475,0.00013021839999999998,0.018126049999999998,0.017364380000000002,0.03549043
4.8e6,0.0499971,59.84027000000001,-4432.648,0.0,-3822.325,1162.358,-0.17161089999999998,2974.106,2973.934,0.0001253281,0.018138300000000003,0.017376620000000002,0.03551495
4.9e6,0.050014670000000004,59.8568,-4445.3820000000005,0.0,-3834.899,1162.766,-0.17239569999999999,2990.468,2990.2949999999996,0.00011374701999999998,0.018149369999999998,0.01737496,0.03552434
5.0e6,0.049997839999999995,59.91468,-4459.942000000001,0.0,-3849.5790000000006,1162.375,-0.17336809999999997,3009.328,3009.153,0.00010249242000000001,0.018140399999999997,0.017372270000000002,0.035512680000000005
5.1e6,0.04998512000000001,60.32196000000001,-4475.273999999999,0.0,-3864.4,1162.0790000000002,-0.17434310000000003,3028.1609999999996,3027.984,0.00010870046000000002,0.01815457,0.01736488,0.03551943
5.2e6,0.049997639999999996,60.61568,-4490.376,0.0,-3879.025,1162.3700000000003,-0.17526809999999998,3045.8059999999996,3045.63,0.00010229126000000002,0.018164519999999997,0.01736668,0.03553122
5.3e6,0.05001678,60.80594,-4504.738,0.0,-3892.697,1162.814,-0.1761212,3063.002,3062.824,9.966721000000001e-5,0.018176710000000002,0.017386859999999997,0.035563559999999994
5.4e6,0.05002021000000001,61.14707,-4517.954,0.0,-3905.5919999999996,1162.894,-0.1769483,3079.7969999999996,3079.6229999999996,9.711648000000002e-5,0.018195120000000002,0.01736711,0.0355622
5.5e6,0.04999568,61.38192,-4530.612999999999,0.0,-3918.0389999999998,1162.3249999999998,-0.1777879,3096.2200000000003,3096.04,9.948399000000001e-5,0.018186360000000002,0.017374560000000004,0.03556094
5.6e6,0.05001242,61.675169999999994,-4542.539,0.0,-3929.6619999999994,1162.714,-0.1785128,3111.723,3111.544,0.00010033331,0.01819722,0.017364150000000002,0.035561380000000004
5.7e6,0.05000519999999999,61.85476000000001,-4555.5070000000005,0.0,-3942.3050000000003,1162.5459999999998,-0.17933919999999998,3128.174,3127.9950000000003,9.747233e-5,0.01820181,0.017369000000000002,0.035570809999999994
5.8e6,0.05000522,62.04929,-4567.307999999999,0.0,-3953.887,1162.547,-0.1800865,3144.1230000000005,3143.943,9.572973e-5,0.01821024,0.0173621,0.035572339999999994
5.9e6,0.05001237999999999,62.214639999999996,-4578.878999999999,0.0,-3964.894000000001,1162.712,-0.1807861,3159.5520000000006,3159.3720000000003,8.912669000000001e-5,0.01822027,0.017377780000000002,0.03559806
6.0e6,0.050015710000000005,62.32872999999999,-4588.941000000001,0.0,-3974.8939999999993,1162.79,-0.1814259,3173.8019999999997,3173.6219999999994,8.541494e-5,0.01821549,0.017379280000000004,0.03559477
