TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM
1.1e6,0.05000254,59.43717999999999,-4366.852,0.0,-3757.3019999999997,1162.484,-0.1674073,1002.2058,1002.039,0.0007772009,0.018135630000000003,0.017355640000000002,0.03549126
1.2e6,0.049990070000000005,61.11137000000001,-4449.9220000000005,0.0,-3838.215,1162.1950000000002,-0.17264649999999998,1080.28,1080.108,0.0007957569000000001,0.01816527,0.01735713,0.035522380000000006
1.3e6,0.05002801999999999,62.20694999999999,-4528.990000000001,0.0,-3915.175,1163.0759999999998,-0.1775548,1154.5819999999999,1154.402,0.0006845849999999999,0.018206160000000002,0.017381559999999997,0.03558772
1.4e6,0.049998329999999994,63.20566000000001,-4592.371,0.0,-3977.308,1162.3839999999998,-0.1816079,1215.4830000000002,1215.3020000000001,0.0005938637,0.018241559999999997,0.01736211,0.03560367
1.5e6,0.04999798,64.39273,-4652.759,0.0,-4035.9410000000003,1162.3779999999997,-0.18539109999999998,1273.027,1272.842,0.0005856451999999999,0.01827156,0.01736874,0.03564031
1.6e6,0.04999880000000001,65.42152,-4697.455,0.0,-4079.296,1162.396,-0.1881869,1317.188,1317.002,0.0005467960999999998,0.018298750000000006,0.01736154,0.03566031
1.7e6,0.05002432999999999,66.15284,-4738.359999999999,0.0,-4118.780000000001,1162.993,-0.19069599999999998,1358.1999999999998,1358.0059999999999,0.0005348288999999999,0.018334620000000003,0.01737042,0.03570505
1.8e6,0.050010879999999994,66.76836,-4778.098000000001,0.0,-4157.769000000001,1162.6770000000001,-0.19323189999999998,1399.944,1399.7450000000001,0.00048342559999999993,0.018350159999999997,0.01736357,0.03571374
1.9e6,0.05000473999999999,67.43663000000001,-4812.271,0.0,-4190.866,1162.5339999999999,-0.19537639999999998,1435.4270000000004,1435.233,0.0004717777,0.0183649,0.017374960000000002,0.035739850000000004
2.0e6,0.050007899999999994,68.30504,-4846.217,0.0,-4223.603000000001,1162.6080000000002,-0.1974835,1470.2949999999998,1470.0990000000002,0.0004981621,0.018390680000000003,0.01737114,0.0357618
2.1e6,0.05000082,68.69654,-4875.377,0.0,-4252.092999999999,1162.442,-0.1993319,1502.2990000000002,1502.1009999999999,0.0004027088,0.01841421,0.01736564,0.03577987
2.2e6,0.05000639,69.20977,-4900.653,0.0,-4276.864,1162.575,-0.200922,1531.1660000000002,1530.966,0.00040942130000000003,0.01842669,0.017352620000000003,0.035779309999999995
2.3e6,0.05000169,69.72684000000001,-4925.076,0.0,-4300.415999999999,1162.4640000000002,-0.20244839999999997,1558.807,1558.601,0.00042579750000000006,0.018440389999999997,0.017361759999999997,0.03580216
2.4e6,0.04999845,70.21135999999998,-4944.603,0.0,-4319.186000000001,1162.3899999999999,-0.20366429999999996,1582.665,1582.463,0.0004265812,0.018448150000000003,0.01737144,0.03581961
2.5e6,0.0499945,70.49945,-4966.363000000001,0.0,-4340.067999999999,1162.295,-0.20501760000000005,1608.5790000000002,1608.3739999999998,0.0003686677,0.018484599999999997,0.01737318,0.035857740000000006
2.6e6,0.05002103,70.79776999999999,-4983.937,0.0,-4356.957,1162.915,-0.20606719999999998,1630.224,1630.0170000000003,0.0003491439999999999,0.01849729,0.0173853,0.0358826
2.7e6,0.050000430000000005,71.23987000000001,-5000.447,0.0,-4373.255,1162.436,-0.20714939999999998,1653.3670000000002,1653.159,0.00037940749999999996,0.01848918,0.01737868,0.03586787
2.8e6,0.05002105,71.53968,-5016.487,0.0,-4388.442,1162.915,-0.20809870000000003,1673.9039999999998,1673.696,0.00031538219999999997,0.01852374,0.01737983,0.035903569999999996
2.9e6,0.05000306,71.95949,-5034.238,0.0,-4405.777,1162.498,-0.20924399999999999,1697.136,1696.9270000000001,0.00030724819999999994,0.018531100000000002,0.01737212,0.035903189999999995
3.0e6,0.05000269,72.26451,-5051.019,0.0,-4422.171,1162.49,-0.21030210000000005,1719.2759999999998,1719.0639999999999,0.0003120696,0.018548109999999996,0.01736048,0.035908590000000004
3.1e6,0.05001846,72.38194999999999,-5065.856999999999,0.0,-4436.4580000000005,1162.857,-0.21120049999999999,1739.334,1739.1230000000003,0.00023893656000000002,0.01856153,0.017375,0.035936510000000005
3.2e6,0.04998801,72.96181000000001,-5079.028,0.0,-4449.231000000001,1162.145,-0.21206999999999998,1759.295,1759.083,0.00027352400000000003,0.01857023,0.01735472,0.03592497
3.3e6,0.049984259999999996,73.22424,-5091.657999999999,0.0,-4461.603000000001,1162.057,-0.21287380000000003,1778.525,1778.3140000000003,0.00029616969999999996,0.01856177,0.01736275,0.03592448
