TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
3.166e7,0.049971100000000004,87.67042000000001,-5597.272,0.0,-4942.87,1161.7540000000001,-0.24394299999999997,6474.902,6474.658,5.67702e-5,0.01917624,0.0173872,0.03656346,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.167e7,0.04998848,87.4912,-5596.896000000001,0.0,-4942.518,1162.156,-0.24389399999999997,6476.2480000000005,6476.005999999999,-1.2260738e-5,0.0191966,0.01737658,0.03657316000000001,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.168e7,0.050060059999999997,86.91914,-5596.3679999999995,0.0,-4942.168000000001,1163.8200000000002,-0.24376440000000002,6476.030000000001,6475.786,-0.00024097152,0.01923882,0.01735994,0.03659872,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.169e7,0.050048539999999996,86.87328000000001,-5596.598,0.0,-4941.952,1163.5520000000001,-0.2437678,6477.904,6477.661999999999,-0.000193170118,0.0192325,0.01739794,0.03663044,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.17e7,0.049957039999999994,86.85560000000001,-5597.1720000000005,0.0,-4944.382,1161.428,-0.2440614,6484.379999999999,6484.138000000001,-0.00019780476,0.019189420000000002,0.017322519999999998,0.036511959999999996,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.171e7,0.049914719999999996,87.15056000000001,-5597.196,0.0,-4944.2660000000005,1160.442,-0.24411759999999996,6487.098,6486.856,-4.271054e-5,0.019156879999999998,0.0173451,0.03650196000000001,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.172e7,0.0500403,86.99771999999999,-5596.39,0.0,-4941.767999999999,1163.3619999999999,-0.24376799999999998,6483.486000000001,6483.242,-7.791866e-5,0.019231579999999998,0.01738934,0.03662092,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.173e7,0.05003818,87.1319,-5596.304,0.0,-4941.111999999999,1163.312,-0.243729,6484.704,6484.4580000000005,-4.52375e-5,0.01922636,0.017422700000000003,0.036649079999999994,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.174e7,0.05004952,86.913,-5595.84,0.0,-4941.4980000000005,1163.5760000000002,-0.24373679999999998,6486.778,6486.532,-0.0001463176,0.019214959999999996,0.01739328,0.036608260000000004,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.175e7,0.04997516,86.89896,-5596.106,0.0,-4942.966,1161.846,-0.24394300000000002,6491.682,6491.436000000001,-0.00018174720000000002,0.01919728,0.01733436,0.036531640000000004,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.176e7,0.049969980000000004,87.46806000000001,-5595.74,0.0,-4941.464,1161.726,-0.24385400000000002,6492.048,6491.804,3.0113140000000008e-5,0.019195639999999996,0.0173727,0.03656834,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.177e7,0.05001869999999999,87.21507999999999,-5594.861999999999,0.0,-4941.3279999999995,1162.858,-0.24377240000000003,6492.6,6492.36,-0.00010001012800000004,0.0192039,0.017332739999999996,0.03653662,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.178e7,0.05006584000000001,87.52510000000001,-5595.354,0.0,-4939.853999999999,1163.956,-0.24360620000000002,6492.122,6491.875999999999,-6.668462e-5,0.0192241,0.01741926,0.03664336,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.179e7,0.04997596,87.41656,-5595.075999999999,0.0,-4941.368,1161.866,-0.24383919999999998,6497.481999999999,6497.2339999999995,4.030839999999994e-6,0.01921312,0.01732156,0.03653472,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.18e7,0.0500454,87.50232000000001,-5595.254,0.0,-4939.908,1163.482,-0.24364020000000003,6495.858,6495.6140000000005,-1.5928579999999994e-5,0.01921936,0.01741574,0.03663508,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.181e7,0.050046120000000006,87.64793999999999,-5595.298000000001,0.0,-4939.236,1163.498,-0.24359599999999998,6496.76,6496.514,4.11554e-5,0.019231260000000003,0.01744064,0.036671880000000004,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.182e7,0.05004746,86.93072,-5595.1720000000005,0.0,-4940.534000000001,1163.53,-0.243678,6499.820000000001,6499.575999999999,-9.009092e-5,0.0192159,0.0174101,0.036626000000000006,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.183e7,0.050018799999999995,87.32441999999999,-5594.892,0.0,-4941.188,1162.8620000000003,-0.2437628,6503.082,6502.836,-7.054788e-5,0.01923926,0.01730162,0.03654088,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.184e7,0.04999228,87.36731999999999,-5595.618,0.0,-4941.212000000001,1162.2459999999999,-0.2438044,6505.364,6505.116,8.398548000000001e-5,0.01918506,0.017398019999999997,0.03658309999999999,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.185e7,0.05004840000000001,87.55496000000001,-5595.237999999999,0.0,-4940.588,1163.55,-0.24367999999999998,6505.188,6504.942,2.8873100000000003e-5,0.01922838,0.01735824,0.0365866,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.186e7,0.05001838000000001,87.24476,-5595.8820000000005,0.0,-4941.79,1162.852,-0.2438024,6508.552,6508.3099999999995,-6.4352284e-5,0.01921284,0.01735794,0.03657076,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.187e7,0.05002858,87.70622,-5595.876,0.0,-4942.052000000001,1163.0899999999997,-0.243804,6510.048000000001,6509.8060000000005,6.899239999999997e-6,0.0192017,0.01732208,0.03652382,0.04,0.05,0.05,1.0,0.001,500000,500000000
