TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
9.79e6,0.0499237,66.8481,-4858.8859999999995,0.0,-4239.414,1160.6519999999998,-0.19862980000000002,3640.6100000000006,3640.41,2.479346e-5,0.01831894,0.01733436,0.0356533,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.8e6,0.05000804,67.13944000000001,-4859.048,0.0,-4237.166,1162.6119999999999,-0.1983586,3637.1899999999996,3636.9919999999997,3.166726800000001e-5,0.0183839,0.01740574,0.035789640000000005,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.81e6,0.05008712,67.17882,-4858.82,0.0,-4236.481999999999,1164.45,-0.1981956,3635.53,3635.332,2.49553e-5,0.0184051,0.01741148,0.0358166,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.82e6,0.049983639999999996,67.2095,-4859.5960000000005,0.0,-4238.312,1162.042,-0.1984688,3640.404,3640.2059999999997,3.5813420000000007e-5,0.01838284,0.01736402,0.035746860000000005,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.83e6,0.049944720000000005,67.30764,-4860.35,0.0,-4239.7,1161.14,-0.19861639999999997,3643.3239999999996,3643.126,3.5773259999999996e-5,0.01831984,0.01737964,0.035699480000000006,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.84e6,0.05001498,67.3668,-4860.393999999999,0.0,-4238.188,1162.774,-0.19841380000000003,3640.778,3640.5799999999995,2.0971039999999996e-5,0.01838104,0.017415060000000003,0.035796079999999994,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.85e6,0.05008368,67.67818000000001,-4861.037999999999,0.0,-4238.146,1164.37,-0.1983082,3639.8020000000006,3639.602,2.5865229999999993e-5,0.0183774,0.01744294,0.035820359999999996,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.86e6,0.05005406,67.21644,-4862.005999999999,0.0,-4240.178,1163.682,-0.1984836,3643.1560000000004,3642.9559999999997,1.9393113999999997e-5,0.01837006,0.01741146,0.03578154,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.87e6,0.049993739999999995,67.2166,-4862.660000000001,0.0,-4242.118,1162.2779999999998,-0.19869900000000001,3646.9980000000005,3646.8019999999997,1.2702579999999998e-5,0.01836722,0.01733142,0.03569866000000001,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.88e6,0.050036239999999996,67.3104,-4862.585999999999,0.0,-4240.464,1163.27,-0.19852879999999998,3644.6820000000007,3644.482,4.727566e-5,0.01840522,0.017389179999999997,0.03579438,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.89e6,0.05005604,67.40776,-4862.688,0.0,-4240.820000000001,1163.73,-0.1985222,3645.058,3644.8599999999997,3.1369098000000006e-5,0.01838646,0.01738524,0.035771700000000003,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.9e6,0.049955440000000004,67.56148,-4863.504,0.0,-4242.308,1161.388,-0.1987692,3649.45,3649.25,5.771590000000001e-5,0.01833896,0.017379199999999997,0.035718139999999995,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.91e6,0.04997014000000001,67.28153999999999,-4863.718,0.0,-4242.77,1161.73,-0.19877660000000003,3650.0800000000004,3649.882,1.2970396000000001e-5,0.018371679999999998,0.017348819999999997,0.0357205,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.92e6,0.049953620000000004,67.71741999999999,-4864.896,0.0,-4244.428,1161.348,-0.1989084,3652.828,3652.6279999999997,4.4374485999999995e-5,0.01832448,0.01733666,0.03566114,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.93e6,0.04999236,67.54693999999999,-4865.244000000001,0.0,-4243.967999999999,1162.25,-0.1988206,3651.85,3651.6519999999996,3.181382e-5,0.018368779999999998,0.017355719999999998,0.03572448,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.94e6,0.04996454,67.79959999999998,-4866.110000000001,0.0,-4244.224,1161.6,-0.1988788,3653.256,3653.0559999999996,4.268472e-5,0.01836722,0.01738026,0.0357475,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.95e6,0.05007104,67.65122,-4865.564,0.0,-4242.01,1164.076,-0.1985764,3649.1699999999996,3648.9740000000006,5.678314400000001e-5,0.01842216,0.01744266,0.035864799999999995,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
