TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal,fit_ep_parameters,fit_ep_margin_error,fit_ep_standard_error
3.6453e8,0.0502405,30.8885,-2139.15,0.0,-1883.9,467.161,-0.228506,33121.1,33120.8,5.22776e-5,0.0187325,0.0174552,0.0361877,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6454e8,0.0498588,30.7803,-2139.81,0.0,-1885.93,463.612,-0.229406,33127.1,33126.9,0.000128165,0.0185931,0.0173908,0.035984,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6455e8,0.0500202,29.9885,-2140.59,0.0,-1886.96,465.113,-0.229329,33127.1,33126.9,-0.000147257,0.0186087,0.0174634,0.0360721,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6456e8,0.0501541,30.4864,-2141.1,0.0,-1886.22,466.358,-0.229011,33125.4,33125.2,-1.25473e-5,0.0186912,0.0175007,0.0361919,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6457e8,0.0500442,31.0493,-2141.39,0.0,-1886.4,465.336,-0.229205,33126.9,33126.7,0.000144702,0.0186278,0.0174915,0.0361193,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6458e8,0.0500962,30.315,-2141.63,0.0,-1886.86,465.819,-0.2292,33127.4,33127.2,-5.8737e-5,0.0186002,0.017602,0.0362022,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6459e8,0.0499452,30.1478,-2141.43,0.0,-1887.73,464.416,-0.229567,33130.6,33130.4,2.97328e-6,0.018644,0.0174123,0.0360564,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.646e8,0.0500444,30.8229,-2141.51,0.0,-1887.24,465.338,-0.229338,33130.2,33129.9,0.000111822,0.018633,0.017407,0.03604,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6461e8,0.0498407,30.4165,-2141.71,0.0,-1888.54,463.443,-0.229854,33134.0,33133.8,1.92035e-5,0.0185122,0.0174162,0.0359283,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6462e8,0.0498755,30.6201,-2141.36,0.0,-1887.93,463.767,-0.229703,33133.8,33133.6,-1.55549e-5,0.0186448,0.0172924,0.0359372,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6463e8,0.0499119,30.3167,-2141.76,0.0,-1887.84,464.106,-0.229634,33134.5,33134.3,-5.44689e-5,0.0186431,0.0174227,0.0360657,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6464e8,0.0498994,29.8475,-2141.78,0.0,-1888.62,463.99,-0.229779,33135.9,33135.7,-8.12824e-5,0.0185678,0.0174495,0.0360173,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6465e8,0.0502102,30.6911,-2140.96,0.0,-1884.65,466.88,-0.228673,33129.8,33129.6,-3.29966e-5,0.0187609,0.0176287,0.0363896,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6466e8,0.0501508,30.6428,-2141.11,0.0,-1885.75,466.327,-0.22894,33131.9,33131.7,1.25974e-5,0.0187063,0.0175385,0.0362447,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
