Sq,lambda_f,lambda_o,timeStep
"[1.2287666658835115, 0.8305320947668513, 1.0571449840148146, 1.3561447753542608, 1.5836925326663953, 1.9935831045729173, 2.1020995454443745, 2.026620620149546, 2.0880469875556487, 2.8812363525300824, 2.7116316830924623, 2.8830627504153776, 2.904966343854438, 4.245065115464966, 2.9302196540646306, 2.78566308829286, 5.934209490090496, 8.417145922625277, 7.315242500527164, 4.143025166431039, 2.180816816835454, 3.2620991737967087, 6.925953182624402, 11.361574663939063, 14.705311560775415, 15.856987367030861, 14.683293752869545, 11.813935638958146, 8.281487073883422, 5.178173989139106, 3.410910157057867, 3.57086792399162, 5.899665960485438, 10.322236779782584, 16.51692930841507, 23.999394978195213, 32.20415491494349, 40.55439101542953, 48.5156586345244, 55.6327811870496, 61.55137105560073, 66.02654731458179, 68.92180823446563, 70.200935549809, 69.91546477642473, 68.18979724647077, 65.2055498640853, 61.18629379722189, 56.38345164567656, 51.06381392489299, 45.49889860657151, 39.95620445234143, 34.6922897542456, 29.94753209505031, 25.942381790785667, 22.87490300978098, 20.919394929997285, 20.225894953685582, 20.920382553365496, 23.10552253601179, 26.861808082027547, 32.248985279118656, 39.30766102813595, 48.06101456378833]",51.245304,1,1000000
"[1.1482588015303004, 0.8190972517054816, 1.104386878459077, 1.4208551548951434, 1.5408053758729259, 1.8144336940111385, 1.8550900577166825, 2.0529570969480284, 2.3275466530961473, 2.856396105698589, 2.7248473315136486, 2.5233226829310476, 2.5822428048594914, 3.716091951080585, 2.9601832015844067, 2.739129810550555, 4.528632744648237, 5.970761400940097, 5.33275196456116, 3.5921465185476036, 2.760100987505301, 3.9075804133201286, 6.656943932656836, 9.775688450407946, 12.001909290118606, 12.588276538284335, 11.462702931988654, 9.112921418000406, 6.345169001812446, 4.033300712019364, 2.9235309617940155, 3.51768702280463, 6.030935391974077, 10.406688505335303, 16.367709941954534, 23.48432164428621, 31.245037869059445, 39.119925491685315, 46.6114189814661, 53.29073150574502, 58.82032628052654, 62.96427938771726, 65.58899531297784, 66.65685558351221, 66.21518440145658, 64.38255342574767, 61.33402621795274, 57.28652843952529, 52.48516044883819, 47.19096160494353, 41.670394022844526, 36.186633513584376, 30.99262874143295, 26.32580655329831, 22.40425240673663, 19.424171223438908, 17.558428534499445, 16.95597858007572, 17.742000518673184, 20.01858268276808, 23.865815436660377, 29.343173960485846, 36.49109209981909, 45.33264662056379]",51.245304,1,1100000
"[1.1955290137287407, 0.8042522297413973, 1.1588108970413888, 1.3826436786735454, 1.540753617967998, 2.00665482857535, 2.030599166858944, 2.2207643752059916, 2.429970743585507, 2.9740434999343903, 3.0406448427216244, 3.076207489488827, 3.1964567755320052, 4.573083035430345, 3.2517896362968064, 2.6661679254294395, 5.085000386534579, 7.231287468107991, 6.477642100806798, 4.040491300214238, 2.743218191224781, 4.163278562879344, 7.834074288068079, 12.06731801683622, 15.128913128050504, 16.002272364341916, 14.59360870624409, 11.549924218336288, 7.916743916957031, 4.801406443576755, 3.125870292543248, 3.490766988487043, 6.13700726375017, 10.976907426142596, 17.66544238337156, 25.687260569529897, 34.44221610164156, 43.31901191827284, 51.752049731479445, 59.260481221373894, 65.47089033719013, 70.12631511760205, 73.08477382784697, 74.31038978788547, 73.85984280065514, 71.86637696941916, 68.52307217236684, 64.06660258677151, 58.7622919471578, 52.890942377591855, 46.73765972724556, 40.58271465054528, 34.69435361355436, 29.323395510099466, 24.699406454518954, 21.02822794091707, 18.490634024586438, 17.241905286177822, 17.41212638749411, 19.10703659229672, 22.40928630179897, 27.37997583418425, 34.06037435244547, 42.473736445960476]",51.245304,1,1200000
"[1.184839808813573, 0.7044413010737428, 1.0784809593560363, 1.2992955710950467, 1.5722723760504833, 1.8540227961850901, 2.1192803088805516, 2.211803885182883, 2.2361098553827765, 2.887352849344588, 3.4223288420840015, 3.1843073338848376, 3.0459425052587314, 4.525289854528885, 3.735152202736425, 3.712919504345815, 6.201752994610453, 7.997102957210457, 6.8628740611312296, 4.203495795675703, 2.7323940489453458, 3.8490072840756278, 7.048827976940561, 10.772475597004693, 13.479131303607305, 14.292523714167753, 13.144465052367645, 10.596047479207593, 7.538753906815847, 4.911137909423506, 3.4945143480156315, 3.8011959922346374, 6.042318731663371, 10.15230994797855, 15.846565638161405, 22.692910556506188, 30.182873281283136, 37.79407058048587, 45.039314711248394, 51.50121430534056, 56.85310022133057, 60.868267999997165, 63.420020626017255, 64.47503666045039, 64.0823586388857, 62.35992937128566, 59.480192161087864, 55.6558733065999, 51.12671389294947, 46.14762697677399, 40.97852819196488, 35.87591804407285, 31.086174725378125, 26.840437978131835, 23.350918337458662, 20.80844389540238, 19.38105169060214, 19.213437408235514, 20.427090971473007, 23.12096359728289, 27.372531651596923, 33.23914256428662, 40.759547100168604, 49.95553979085615]",51.245304,1,1300000
"[1.2586127453897198, 0.7879285114747551, 1.057152344951619, 1.387863665811081, 1.719512566418013, 1.7715491015971605, 1.852503546914769, 2.0725652683030793, 2.677146197373238, 2.9824278178325816, 3.049112791033585, 2.9311009026338444, 3.007033626366893, 4.320296523963902, 3.2639273570286336, 3.0410574495316203, 5.35766136220194, 7.162436160935622, 6.288707856617307, 3.9713351830533457, 2.7175910086096136, 3.8589778465329516, 6.955097849380679, 10.553000642772172, 13.190591547555156, 14.020086395655058, 12.960649973631764, 10.538933892187561, 7.6072619588123676, 5.071098138553953, 3.689644597343543, 3.964898900629578, 6.107970826590847, 10.06100852154329, 15.552125416694308, 22.164369011851615, 29.40498474162865, 36.766333690492786, 43.77404905550536, 50.02112456201498, 55.18866990404536, 59.05522854807177, 61.49705603549702, 62.48181393078285, 62.05792111976496, 60.34145241274362, 57.502075923616836, 53.74913341998807, 49.318624194713486, 44.46156748424641, 39.43399387365874, 34.48864840509559, 29.86836965396221, 25.80103099062753, 22.495883840409526, 20.14112008137306, 18.902465062431986, 18.9226186407635, 20.321374886552505, 23.196268498182025, 27.623615205629438, 33.65983291303304, 41.342948989215564, 50.694216314578725]",51.245304,1,1400000
"[1.2354364167268712, 0.7479208550099526, 1.0330446352381746, 1.4479665710793002, 1.5347386131968097, 1.89651767320275, 2.1191323292389703, 2.462882398031398, 2.328133417788643, 2.6684305109352775, 3.181345784915625, 3.507205195183884, 3.655685843896778, 4.8414033474287255, 3.913802584743249, 3.446347396849258, 5.2353304017846165, 6.7085229499154, 5.881093767296209, 3.825819342581373, 2.78944749782291, 3.9494730552713198, 6.868582616220104, 10.192806081552892, 12.571697940410973, 13.231845223163761, 12.119877711587623, 9.756404036362586, 6.972348427444552, 4.649503146370695, 3.527137720622539, 4.091949109939016, 6.54290581841841, 10.81135948016734, 16.61480175447982, 23.52551224064071, 31.04014583945513, 38.641292641243915, 45.84631012608308, 52.241936692031004, 57.505338872101085, 61.41348088039509, 63.84325332219165, 64.76487460620842, 64.23086718269161, 62.36255093510868, 59.33558520566231, 55.365690716109725, 50.69532754966901, 45.581810758978406, 40.28711402346728, 35.06943976294471, 30.17651320273179, 25.840478754073693, 22.27423053904024, 19.668986697431027, 18.192912284718215, 17.990602471952567, 19.18325202107248, 21.869355364991776, 26.125801719154154, 32.00924986816327, 39.557686549276745, 48.79209005690153]",51.245304,1,1500000
"[1.2335242061994083, 0.8349012711461433, 1.048777101801647, 1.374653036723981, 1.5446030740232668, 1.9716324332907915, 2.130455041550422, 2.4352965959700046, 2.607345242079023, 3.2296797319111183, 3.172652803983697, 3.397098490625649, 3.336659669819769, 4.283814208930245, 3.5798350033122848, 3.1202336913676554, 4.424794107699685, 5.559807239648143, 4.966091382828559, 3.4429822314087293, 2.7292956241070065, 3.7533834263593984, 6.178900921861285, 8.933049173862091, 10.93109754634501, 11.540964876019325, 10.708846912835087, 8.850545707584061, 6.642879382516424, 4.813351204488471, 3.9796764984569615, 4.55526004329585, 6.7156391543977, 10.411223320404542, 15.409332537665948, 21.350267154003674, 27.805654061882965, 34.33119256817882, 40.509390779259185, 45.98059803725563, 50.46253296422462, 53.759664612392356, 55.76437812610235, 56.452011626203465, 55.8717365212234, 54.134988159760496, 51.40282443576754, 47.8732544384299, 43.76927204698139, 39.328067938656574, 34.79168359686798, 30.39921111844228, 26.38052746120986, 22.95147401665641, 20.31034447025339, 18.63551875575188, 18.08407236831069, 18.79119329220595, 20.870249294844065, 24.41336326680918, 29.49237138806692, 36.160056577309405, 44.45156686130463, 54.38594430876223]",51.245304,1,1600000
"[1.3173529598639917, 0.807200252989227, 1.0502405497202498, 1.242494676833334, 1.645868532753755, 1.8040588530192114, 2.155413191984903, 2.660306238081631, 2.4363151019110947, 3.243658950761239, 3.883700641968821, 4.103446021333518, 3.8790513806244866, 4.986276054077132, 3.902920322825351, 3.4723669166332605, 5.5551235349500425, 7.228653953607726, 6.320455879383212, 4.0315795959446215, 2.821201826100012, 3.9753124875913155, 7.039603030668837, 10.57868612364484, 13.156915880841604, 13.944432292208495, 12.86826742993416, 10.46039944670566, 7.582496720433555, 5.154315969741471, 3.9504441512173116, 4.483880899316813, 6.968064397177042, 11.337044695902899, 17.30120647340807, 24.418821497698175, 32.16870906235529, 40.01452793828301, 47.45573495304662, 54.063643406751495, 59.50328109243355, 63.543049423311885, 66.05475600760242, 67.0066649786294, 66.45197857838124, 64.51477871242282, 61.37502145424376, 57.25375550220342, 52.39936310478092, 47.07531445453165, 41.549686488910325, 36.086519360050765, 30.938959753085133, 26.344059717468795, 22.519052963640956, 19.65890896163558, 17.93496134598752, 17.494415216241414, 18.46055340028261, 20.933481256011813, 24.991270720627515, 30.691385430425896, 38.072288764455884, 47.15515498231974]",51.245304,1,1700000
"[1.2883365465738128, 0.8591107258127341, 1.137930272604864, 1.240442764894201, 1.5980212810787948, 1.8823538548331686, 2.0593490907520255, 2.722031928837085, 2.412186168514238, 3.3642113322135643, 3.43511519716879, 3.259480590709446, 3.6353133107989524, 5.559439551935261, 4.2744124436970345, 3.5187985793339656, 5.7486910027579095, 7.661607874373309, 6.729553086615455, 4.239484386746467, 2.9408165533832555, 4.294865352300899, 7.797092050615075, 11.818928256008814, 14.729065049478764, 15.593366062493224, 14.345547932191453, 11.603550390925124, 8.346069911544225, 5.600485555289036, 4.21635883882544, 4.742189141548193, 7.391741620213086, 12.073925057234133, 18.45931046834107, 26.06105395219638, 34.31445311965312, 42.64556189440827, 50.52429259032942, 57.501006597773895, 63.22785142054248, 67.46730739057475, 70.09085739256766, 71.07065189114613, 70.46671918172218, 68.41181868630558, 65.09555379757539, 60.74891049862407, 55.62999982901845, 50.01146769532878, 44.16979387815102, 38.37652602019767, 32.89137353781685, 27.95700974783954, 23.795387670940922, 20.60535692159078, 18.561368355320372, 17.81306380566193, 18.485565800251305, 20.680303287022323, 24.47623178678025, 29.931328438489547, 37.08426311701067, 45.95616560381624]",51.245304,1,1800000
"[1.1965279729993918, 0.7620010720116321, 1.1263342875117397, 1.4481797925441424, 1.3944028866961866, 1.9702595082230876, 2.17671372895796, 2.485434019127314, 2.662490225920382, 3.0911940081153326, 3.5641649952453838, 3.3603209149130953, 3.9349873017479995, 5.189617135661624, 4.14128300248908, 3.6961158479602587, 5.407323663891129, 6.811646231075558, 6.1239327113581, 4.318536723332492, 3.39718024266317, 4.408406354781589, 6.971117672652356, 9.890888951799088, 11.973419742382644, 12.533394580171137, 11.522775205565353, 9.402814125000871, 6.9114848506236175, 4.834057258494173, 3.831399329289354, 4.341348823517885, 6.546003994489674, 10.388024457649019, 15.61720428981361, 21.850929503970494, 28.636174092127778, 35.50494444545586, 42.01878109593201, 47.80076092607637, 52.555381040808406, 56.077862503980725, 58.25496218584572, 59.059503767924404, 58.540691637282094, 56.811977228036255, 54.03789473398572, 50.42092995361156, 46.18916626359916, 41.585181863326305, 36.85645732885603, 32.247389844054354, 27.992894065214287, 24.313491638855687, 21.411743949940156, 19.469858365443372, 18.64829070321999, 19.085170684276736, 20.896388610529357, 24.176197332498557, 28.99820145247077, 35.4166240480356, 43.46775893015318, 53.17153290398139]",51.245304,1,1900000
