poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot
26.0,74.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
26.2,61.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
26.4,73.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
26.6,59.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
26.8,68.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
27.0,69.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
27.2,65.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
27.4,65.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
27.6,87.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
27.8,70.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
28.0,79.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
28.2,85.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
28.4,86.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
28.6,77.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
28.8,93.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
29.0,96.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
29.2,77.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
29.4,101.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
29.6,88.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
29.8,78.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
30.0,82.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
30.2,93.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
30.4,106.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
30.6,86.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
30.8,90.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
31.0,104.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
31.2,112.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
31.4,76.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
31.6,97.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
31.8,103.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
32.0,92.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
32.2,110.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
32.4,104.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
32.6,97.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
32.8,89.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
33.0,81.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
33.2,104.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
33.4,91.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
33.6,98.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
33.8,83.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
34.0,94.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
34.2,97.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
34.4,106.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
34.6,86.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
34.8,94.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
35.0,106.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
35.2,81.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
35.4,90.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
35.6,105.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
35.8,68.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
36.0,93.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
36.2,73.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
36.4,71.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
36.6,71.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
36.8,78.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
37.0,73.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
37.2,82.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
37.4,72.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
37.6,86.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
37.8,73.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
38.0,61.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
38.2,75.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
38.4,69.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
38.6,78.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
38.8,59.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
39.0,60.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
39.2,82.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
39.4,73.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
39.6,68.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
39.8,51.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
40.0,57.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
40.2,68.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
40.4,55.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
40.6,55.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
40.8,41.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
41.0,59.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
41.2,55.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
41.4,58.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
41.6,53.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
41.8,53.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
42.0,48.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
42.2,51.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
42.4,41.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
42.6,42.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
42.8,47.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
43.0,36.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
43.2,46.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
43.4,39.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
43.6,36.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
43.8,36.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
44.0,35.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
44.2,31.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
44.4,38.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
44.6,28.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
44.8,14.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
45.0,27.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
45.2,25.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
45.4,28.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
45.6,21.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
45.8,27.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
46.0,30.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
46.2,16.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
46.4,16.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
46.6,15.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
46.8,19.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
47.0,18.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
47.2,8.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
47.4,10.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
47.6,11.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
47.8,20.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
48.0,11.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
48.2,11.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
48.4,12.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
48.6,13.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
48.8,10.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
49.0,10.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
49.2,8.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
49.4,11.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
49.6,8.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
49.8,5.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
50.0,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
50.2,11.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
50.4,5.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
50.6,3.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
50.8,7.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
51.0,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
51.2,4.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
51.4,6.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
51.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
51.8,5.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
52.0,5.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
52.2,3.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
52.4,1.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
52.6,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
