mag,Sq0,Sq10000000
524.0,0.9783154273930533,0.7592479163334289
525.0,1.0068462466482013,0.8326467975442118
526.0,0.9862046144344753,0.8120980457149348
528.0,0.9688013107819881,0.6802088609625071
529.0,0.9221095284273544,0.7781825684364274
530.0,0.9733593720921386,0.8265152741342092
531.0,0.9606351406993224,0.8788406316187507
532.0,1.0315449326211352,0.7170738288746094
533.0,1.027645444072633,0.7841205908780499
534.0,0.940696636016312,0.7996013608740875
536.0,1.035042609969108,0.8260261464733168
537.0,0.9314736307890465,0.8650396976550885
538.0,1.0528768169978453,0.8365320961816393
539.0,0.99686089748292,0.8382295905966929
541.0,1.040110110347858,0.8438240081475611
542.0,0.9795744444320217,0.7736196297063811
544.0,1.174323006903019,0.804003939286937
545.0,0.9509005834752982,0.7877349263754678
546.0,0.9747084042702608,0.8148274302212523
547.0,1.0828008392253146,0.8423805095447638
548.0,0.9621396288132197,0.7908527827916175
549.0,1.0537575534532948,0.7717247808994198
550.0,1.0381252894915591,0.7864305221593338
552.0,0.9826504115964697,0.7661981788514681
553.0,1.0560268324729287,0.7597283981952363
554.0,0.9516780828925923,0.8341358087323446
555.0,0.9842230287358893,0.8187124756331139
556.0,1.0535145937610848,0.8306797929259921
557.0,0.9944074977518845,0.7776247876702701
558.0,0.9455456806386097,0.8380052906805296
560.0,0.9299087109541,0.8252124730465397
561.0,1.044958038558624,0.7836733117010586
562.0,0.9673605338970354,0.7382287450797856
563.0,0.9338002210870471,0.8003522728672261
564.0,0.9755558546258554,0.7814310202364357
565.0,0.9405581987275846,0.7779539357321209
566.0,0.9558665949902646,0.8069253655816414
568.0,0.9979887408302706,0.7478678193265659
569.0,1.007637414578202,0.7948460362862864
570.0,0.9939779685494774,0.8122531806659105
571.0,0.9880050786897118,0.8175670879247394
573.0,1.022733951703912,0.8247938033037779
574.0,0.9957361696425329,0.762692276145556
576.0,1.085778300946343,0.8265688131260839
577.0,0.9370543620375461,0.7583117587876396
578.0,0.9439525907134896,0.8068272744078799
579.0,1.044194310207511,0.7840941231974865
580.0,0.8982401455668494,0.7544600792879157
581.0,1.035093235291918,0.7641853617003451
582.0,0.9538107945231186,0.7929805550057385
584.0,0.9497252400250346,0.7378314421543967
585.0,1.009177762993944,0.7596088161951672
586.0,0.9900344992526887,0.8099425719473081
587.0,0.9882776862489231,0.7549173221111212
588.0,0.9821135020253392,0.7368584076908355
589.0,0.9633842350102148,0.753700009175048
590.0,0.9800071051262667,0.8334561329273871
592.0,1.043606338701005,0.7565634785101818
593.0,0.9965768062151091,0.7874963444811649
594.0,0.9881799071032911,0.7506229698622886
595.0,1.0945207386908156,0.7802514559761756
596.0,0.9533951887514015,0.7661941778148511
597.0,1.0241857741751128,0.7702259447378701
598.0,0.9580272521469119,0.8379126898133316
600.0,0.9303441203241115,0.732326289296922
601.0,0.9594256163526512,0.7916467722913175
602.0,0.9865770107587186,0.7505399000097348
603.0,1.0119155178597061,0.806249292144725
605.0,1.0194814727386683,0.7962376268499194
606.0,0.9597715066469835,0.7729779932840531
608.0,1.0548806072013392,0.7629765836328016
609.0,1.0662612982127546,0.7638965126558219
610.0,0.9646997741957896,0.7145490717047461
611.0,0.9758256939201961,0.8074547249369717
612.0,0.9449410450004397,0.7686106209063571
613.0,0.9958274589398898,0.7266723915728669
614.0,1.0143365575094714,0.7517821636337064
616.0,1.0592840070342422,0.7615993850798473
617.0,1.0284948049332707,0.7822787560278265
618.0,1.0179025569980635,0.7103340688815778
619.0,1.0218563412110402,0.8222824151781372
620.0,1.0393610703257534,0.7675530832419533
621.0,1.07180284518771,0.7641068997520796
622.0,1.0403989637459683,0.7075133421449645
625.0,1.0667736375263523,0.7555439884264679
626.0,1.0008948216909546,0.7659564226876164
627.0,0.9327675083968247,0.8033676035039001
628.0,0.8913827728931539,0.7699344721280076
629.0,1.0442719751122853,0.7607270172466122
630.0,1.06013027326924,0.7575921393238614
632.0,0.9379992457612034,0.8071054304695457
633.0,0.9346780749627401,0.7435872706076118
634.0,0.9203107389848838,0.7647640261324169
635.0,0.996308707974762,0.7700955923245043
637.0,0.9816591932938018,0.7472198054374226
638.0,1.0088215057760495,0.7527455504832761
640.0,1.1381238101836773,0.7047123497749941
641.0,1.0118107845840327,0.7630697713619795
642.0,0.983846826523601,0.7285259421166983
643.0,0.9956059946957041,0.8787047472928758
644.0,1.1302964502308215,0.7702634360559591
645.0,0.9995173520331566,0.7608539300888411
646.0,0.970931841503268,0.7570393338173655
648.0,0.986123371423059,0.8126159429218665
649.0,0.9922075338211501,0.7665967819407815
650.0,0.9805209585218372,0.7417039675940198
651.0,1.0280936638652554,0.7394352327401109
652.0,0.929316854086698,0.7158763256021334
653.0,1.1041256485976174,0.712989452979398
654.0,1.0285602537356877,0.7612574788034749
656.0,1.0182286305249548,0.7807889312050427
657.0,0.9595541917213868,0.7735626382526478
658.0,0.997528833513489,0.6975103224679177
659.0,1.0515829915842605,0.7483740900706948
660.0,0.9737689327574269,0.7320468290238921
661.0,1.0067121060298814,0.7536632190530933
662.0,1.028952299396029,0.7776232566930845
664.0,0.9180866106570716,0.7106346626263199
665.0,0.9967012515466864,0.7561522934244814
666.0,0.9989134289174361,0.7421936673786081
667.0,1.1323138348057376,0.737957624070012
669.0,1.007941936527754,0.7035594170455092
670.0,1.0683956308997193,0.6775170004682655
672.0,0.9104997432067499,0.7572403129550275
673.0,1.0042343897824741,0.7168902316426607
674.0,1.0355001947120814,0.7289166212929941
675.0,1.0268993144746563,0.7407808922210194
676.0,1.1209027899531134,0.697937869526586
677.0,1.0294479241469539,0.7588162647601312
678.0,1.0221896471544851,0.7183124468919012
680.0,0.9744972940458647,0.7478581661856337
681.0,0.9884527671790716,0.7545679153092774
682.0,1.0150364755047763,0.6509218486812605
683.0,1.0761448658043689,0.7236887832827118
684.0,1.0897310409534124,0.7362948526868004
685.0,1.021115714804547,0.7557247801792766
686.0,0.9907290137584996,0.7238559158652104
688.0,1.3162963895839066,0.6824496979403207
689.0,0.9867447090255368,0.723344056760658
690.0,0.9855451343970836,0.7815533496727963
691.0,0.9594600671082971,0.7532377452325689
692.0,0.9811809419234989,0.7563142234290059
693.0,0.9892184493900517,0.7133487384410768
694.0,0.9904413389497339,0.7706912059588296
696.0,0.9635624362241366,0.7816965546001726
697.0,1.0699689184146302,0.723043743006672
698.0,0.9767219935875462,0.7152765988168784
699.0,0.9922983315601496,0.7242824036640202
701.0,1.0131937574187764,0.712971551814738
702.0,0.9723110301227059,0.739119796439975
704.0,0.8908885929803284,0.8265532289098444
705.0,1.0142191097122317,0.7345638744922364
706.0,1.0123326117589524,0.7003576116828671
707.0,1.1593978678516728,0.768842825695439
708.0,0.966314829599513,0.6052374750911277
709.0,0.9747408435655464,0.7053107130062217
710.0,1.042102916434009,0.7483092490997486
712.0,0.9485611423107805,0.713933488193908
713.0,1.0222646077262998,0.7319379858079287
714.0,1.0132710312979978,0.7087667592567833
715.0,1.022860386920005,0.7113861337650372
716.0,1.1059294086573066,0.7373247179753206
717.0,1.0627850638225846,0.7223752197491503
718.0,0.9976982651589519,0.7077959025758215
720.0,1.0404110783306737,0.7225421280145866
721.0,1.0564069858823728,0.7209271436374757
722.0,1.0016116904404466,0.6944255226300743
723.0,1.0033366819289609,0.6537496128815309
724.0,0.8795080140794773,0.6935916665357237
725.0,1.0772511039997994,0.7162388176278158
726.0,1.0692142380377765,0.7160062911559275
728.0,0.8910263811572547,0.6920636641305565
729.0,1.021785995322265,0.7127441337313066
730.0,0.9378105238622771,0.6767040264317534
731.0,1.0580456530550104,0.7154126238213053
733.0,1.066909616423063,0.7721007865111773
734.0,1.0619716085543953,0.7234141097861357
736.0,1.084326039921735,0.6829005046798918
737.0,1.060818435047058,0.6958213848382863
738.0,0.9786232110472596,0.6951896479910631
739.0,1.1518028623226915,0.682398024230527
740.0,1.0243051698559056,0.7033029140680829
741.0,1.1150164394490498,0.7076960548750104
742.0,1.0052675975257581,0.7880959809833352
